# Wall shear stress
# Time          	patch           	min             	max             
1.00000000e+02	topWall	(-2.81737522e-09 -6.88822549e-07 0.00000000e+00)	(9.55633552e-09 -1.04923667e-08 0.00000000e+00)
1.00000000e+02	bottomWall	(-4.95885793e+01 -9.35182997e-01 0.00000000e+00)	(-6.55593433e+00 4.09342357e-03 0.00000000e+00)
2.00000000e+02	topWall	(-4.01298824e-09 -1.06307344e-06 0.00000000e+00)	(1.32045614e-08 -1.44588207e-08 0.00000000e+00)
2.00000000e+02	bottomWall	(-4.95639143e+01 -9.34834463e-01 0.00000000e+00)	(-6.38076864e+00 4.09347153e-03 0.00000000e+00)
3.00000000e+02	topWall	(-4.77766943e-09 -1.41636808e-06 0.00000000e+00)	(1.60094607e-08 -1.75667122e-08 0.00000000e+00)
3.00000000e+02	bottomWall	(-4.95567216e+01 -9.34748560e-01 0.00000000e+00)	(-6.16831087e+00 4.09316380e-03 0.00000000e+00)
4.00000000e+02	topWall	(-5.22607658e-09 -1.73057585e-06 0.00000000e+00)	(1.80328855e-08 -1.98549929e-08 0.00000000e+00)
4.00000000e+02	bottomWall	(-4.95537472e+01 -9.34715251e-01 0.00000000e+00)	(-5.99936915e+00 4.09291397e-03 0.00000000e+00)
5.00000000e+02	topWall	(-5.43490997e-09 -2.00042002e-06 0.00000000e+00)	(1.94617869e-08 -2.14319826e-08 0.00000000e+00)
5.00000000e+02	bottomWall	(-4.95523492e+01 -9.34679907e-01 0.00000000e+00)	(-5.86403053e+00 4.09208317e-03 0.00000000e+00)
6.00000000e+02	topWall	(-5.46175372e-09 -2.22763246e-06 0.00000000e+00)	(2.04524042e-08 -2.25678068e-08 0.00000000e+00)
6.00000000e+02	bottomWall	(-4.95516857e+01 -9.34671580e-01 0.00000000e+00)	(-5.75291301e+00 4.09588201e-03 0.00000000e+00)
7.00000000e+02	topWall	(-5.36520578e-09 -2.41786181e-06 0.00000000e+00)	(2.11383134e-08 -2.33275119e-08 0.00000000e+00)
7.00000000e+02	bottomWall	(-4.95513912e+01 -9.34668465e-01 0.00000000e+00)	(-5.66219914e+00 4.09581196e-03 0.00000000e+00)
8.00000000e+02	topWall	(-5.19528219e-09 -2.57592923e-06 0.00000000e+00)	(2.15753954e-08 -2.38124585e-08 0.00000000e+00)
8.00000000e+02	bottomWall	(-4.95512831e+01 -9.34664596e-01 0.00000000e+00)	(-5.58959666e+00 4.09827047e-03 0.00000000e+00)
